page_number,directions,ingredients,prep_time_minutes,ready_in_minutes
17,"1. Pre-heat the oven to 400°F (204°C).
2. Chop the apples into small pieces.
3. In a bowl, whisk egg whites, cinnamon, sweetener, and vanilla.
4. Tear the bread into small pieces and place in a bowl with the egg
whites, cinnamon, sweetener, and vanilla. Mix with your hands
until the bread pieces are well soaked with the batter.
5. Spray a casserole dish with cooking spray for 1 second. Pour the
egg white/bread mixture into the casserole dish.
6. Place the casserole dish uncovered in the middle rack and cook in
the oven at 400°F/204°C for 40-50 minutes.","M A K E S  1  B A T C H .  S E R V I N G 
S I Z E  V A R I E S  D E P E N D I N G 
O N  H O W  L A R G E  O R  S M A L L 
Y O U  C U T  T H E  P I E C E S .
18 slices regular ass bread (or one 
loaf [570g] of regular ass bread)
1920g (4 cartons/2000ml) egg 
whites
21g (3 tbsp) cinnamon
15g (1 tbsp) vanilla extract
15 packets (⅝ cup) sweetener
1500g or ~10 apples of your choice
Cooking spray",20,60
18,"1. In a bowl, add egg whites, sweetener, cinnamon, and vanilla
extract. Whisk until spices are evenly distributed throughout
the mixture.
2. Heat a griddle over low-medium heat. Spray griddle with
cooking spray.
3. Dip bread slices into egg white mixture, and transfer to pan.
4. Spoon any leftover egg white mixture on to the bread in the
pan. If done slowly, the bread should absorb the mixture and
get fluffy.
5. Let cook for about 3-4 minutes on each side.
6. Remove French toast from the pan and serve on a plate with
toppings. Suggestions for toppings are fresh fruit and low-
calorie syrup.","M A K E S  1  S E R V I N G
180g (¾ cup) egg whites
2 slices regular ass bread (up to 80 
calories per slice)
2 packets (~1 tbsp) sweetener
1 tsp cinnamon
5g (1 tsp) vanilla extract
Cooking spray
T O P  W I T H :
60ml (4 tbsp) low-calorie syrup (20 
calories)",10,20
20,"1. In a bowl, mix the filling ingredients with a fork or whisk
until a thick & uniform paste is formed.
2. Spread the paste onto the slices of regular ass bread,
and add the sliced banana on top.
3. Roll up the bread and pinch around the edges to seal in
the filling (like a burrito).
4. Whisk egg whites, cinnamon and vanilla extract into a
bowl until fully mixed.
5. Heat a pan over medium heat, and spray with cooking
spray.
6. Once the pan has achieved medium heat, submerge
the sealed bread pockets into the egg white/cinnamon/
vanilla extract mixture.
7. Remove and place onto the pan until the egg whites are
fully cooked.
8. Remove from the pan and plate with optional toppings
of powdered peanut butter (either mixed with water
or dry), strawberries, and sugar-free syrup. Serve and
enjoy!","M A K E S  2  R O L L - U P S  ( 1  S E R V I N G )
F I L L I N G :
30g banana
8g (¼ scoop) chocolate peanut butter protein 
powder
2.5g (½ tbsp) cocao powder
15ml (1 tbsp) water
F R E N C H  T O A S T  B A S E :
2 slices regular ass bread (up to 80 cal per slice)
120g (½ cup) egg whites
2 packets (4 tsp) sweetener
½ tsp cinnamon
¼ tsp vanilla extract
Cooking spray
T O P P I N G S :
3g (½ tbsp) powdered peanut butter (PB2)
40g strawberries
30ml (2 tbsp) sugar-free syrup (10 calories)",10,20
21,"1. In a bowl, add egg whites, sweetener, cinnamon, and vanilla
extract. Whisk until spices are evenly distributed throughout the
mixture.
2. Heat a griddle over low-medium heat. Spray griddle with cooking
spray. Place blueberries on the stove while the pan is heating up.
3. Dip bread slices into egg white mixture, and transfer to pan,
placing the bread directly on top of the cooked blueberries.
4. Spoon any leftover egg white mixture into the bread in the pan. If
done slowly, the bread should absorb the mixture and get fluffy.
5. Let cook for about 3-4 minutes on each side.
6. Remove blueberry French toast from the pan and serve on a plate
with toppings. Suggestions for toppings are extra fruit and low-
calorie syrup.","M A K E S  1  S E R V I N G
180g (¾ cup) egg whites
2 slices regular ass bread (up to 80 
calories per slice)
60g blueberries
2 packets (4 tsp) sweetener
½ tsp cinnamon
3g (~½ tsp) vanilla extract
Cooking spray
R E C O M M E N D E D 
T O P P I N G S :
60ml (4 tbsp) low-calorie syrup (20 
calories)",10,20
22,"1. Pre-heat the oven to 400°F (204°C).
2. Cut the nectarines/peaches into small pieces.
3. In a bowl, whisk egg whites, cinnamon, sweetener, and vanilla.
4. Tear the bread into small pieces and place in a bowl with the egg
whites, cinnamon, sweetener, and vanilla. Mix with your hands
until the bread pieces are well soaked with the batter.
5. Spray a casserole dish for 1 second. Pour the egg white/bread
mixture into the casserole dish.
6. Place the casserole dish uncovered in the middle rack and cook in
the oven at 400°F/204°C for 40-50 minutes.","M A K E S  1  B A T C H .  S E R V I N G 
S I Z E  V A R I E S  D E P E N D I N G 
O N  H O W  L A R G E  O R  S M A L L 
Y O U  C U T  T H E  P I E C E S .
18 slices regular ass bread (or one 
loaf [570g] of regular ass bread)
1440g (3 cartons) egg whites
21g (3 tbsp) cinnamon
15g (1 tbsp) vanilla extract
15 packets (⅝ cup) sweetener
1500g (~10) nectarines or peaches, 
frozen or fresh, IT DOESN’T 
MATTER",15,60
23,"1. In a bowl, add egg whites, sweetener, cinnamon, and vanilla
extract. Whisk until spices are evenly distributed throughout
the mixture.
2. Heat a griddle over low-medium heat. Spray griddle with
cooking spray.
3. Dip bread slices into egg white mixture, and transfer to pan.
4. Spoon any leftover egg white mixture into the bread in the
pan. If done slowly, the bread should absorb the mixture and
get fluffy.
5. Let cook for about 3-4 minutes on each side.
6. Remove French toast from the pan and serve on a plate with
toppings. Suggestions for toppings are fresh fruit and low-
calorie syrup.","M A K E S  2  S E R V I N G S
120g (½ cup) egg whites
2 slices ICON Meals protein bread OR 
protein bread of choice (140 calories 
per slice)
1 packet (2 tsp) sweetener
1 tsp cinnamon
5g (1 tsp) vanilla extract
Cooking spray
T O P  W I T H :
60ml (4 tbsp) low-calorie syrup (20 
calories)",10,20
25,":
1. In a medium bowl, mash up avocado to make it into a paste.
Add the chopped tomato, paprika, minced garlic, lemon juice,
salt & pepper, and mix.
2. Heat a pan over medium-high heat. Spray with cooking spray
for 1 second. Place three egg rings on the skillet and place
the egg whites in the egg rings. NOTE: If you don’t have egg
rings, simply place the egg whites in the pan, cook and flip,
then divide it into 3 pieces for each rice cake.
3. Lay the 3 rice cakes on a plate. Stack each rice cake with one
of the egg white circles cooked in the egg white rings.
4. Divide the avocado mash and place on top of the egg white
rings. Add sliced tomato on top.
5. Serve as three open-face pieces of rice cake deliciousness.
You may add fresh-squeezed lemon and cracked pepper if
desired.","M A K E S  3  R I C E  C A K E S
3 rice cakes
60g avocado 
90g sliced tomato
40g chopped onion 
40g chopped tomato
240g (1 cup) egg whites of choice (I 
prefer chedder and chive)
1 tbsp minced garlic
1 tsp paprika 
1 tbsp lemon juice (desired taste)
Salt (desired taste)
Cooking spray",10,15
26,":
1. In medium bowl, mash up avocado making it into a paste. Add
the chopped tomato, paprika, minced garlic, lemon juice, and
salt & pepper, and mix.
2. Place the bread slices in the toaster.
3. Heat a pan over medium-high heat. Spray with cooking spray for
1 second. Cook the egg whites in the pan. Remove from the pan
and divide the cooked egg whites on the open-face toast.
4. Remove the toast from the toaster and place on a plate. Divide
the avocado mash and place on both slices, adding sliced
tomato on top.
5. Serve as two open-face pieces of toast deliciousness. Serve with
fresh-squeezed lemon and cracked pepper if desired.","M A K E S  1  S E R V I N G
2 slices regular ass bread
60g avocado
90g sliced tomato
40g chopped onion
40g chopped tomato
240g (1 cup) egg whites of choice
1 tbsp minced garlic (or 3 cloves, 
minced)
1 tsp paprika
1 tsp lemon juice
Salt & pepper (to taste)",10,15
27,"1. Preheat the oven to 400°F/204°C.
2. In a bowl, whisk the egg whites, cheese, salt and pepper together
well.
3. Spray a non-stick muffin pan with cooking spray.
4. Stuff the spinach evenly into each muffin mold. Then place the
tomatoes in each hole on top of the spinach. Carefully fill up each
hole with the egg white mixture to the top until used up.
5. Bake the egg white cups in the oven for 10 minutes or until fully
cooked. Remove from the oven and use a fork to carefully pull
them from the muffin tin. Transfer to a plate and serve.","M A K E S  1  S E R V I N G
480g (2 cups) egg whites
100g spinach leaves
100g tomato, diced (~20 calories)
4 slices fat-free cheese (or 76g 
shredded fat-free cheese)
Salt & pepper (to taste)",10,25
28,"1. Pre-heat the oven to 400°F/204°C.
2. In a bowl, mix all the vegetables together, except for the spinach.
Spray them lightly with cooking spray and season lightly with salt
and pepper. Place the mix on a baking sheet and bake in the oven
at 400°F/204°C for 10 minutes. Remove from the oven and set
aside.
3. In a bowl, whisk the egg whites well. Add the roasted vegetables
and the remaining ingredients and mix well.
4. Heat the stovetop to medium heat. Using a nonstick skillet, add
the egg mixture and cook on one side for 3 minutes or until
the egg whites are partially cooked. Make sure to work the egg
mixture back and forth with a rubber spatula so they don’t stick to
the pan.
5. When ready, flip, turn or roll the omelette over and cook for an
additional 2 minutes.
6. Once it is fully cooked, fold the omelette in half and serve.","M A K E S  1  S E R V I N G
300g (1¼ cup) egg whites
25g red bell peppers, julienned/cut 
into thin strips
25g yellow onion, julienned/cut into 
thin strips
50g cherry tomatoes
50g yellow squash, sliced
50g zucchini, sliced
50g button mushrooms, sliced
50g fresh spinach
56g crumbled reduced-fat feta 
cheese (or low-fat cheese of choice 
for up to 120 calories)
Salt & pepper (to taste)
Fire-Roasted Veggie 
Omelette",30,40
29,"1. In a bowl, whisk the egg whites well. Add all the remaining
ingredients (except for the cheese) and mix well.
2. Heat the stove to medium heat. Using a nonstick skillet, spray with
cooking spray then add the egg mixture and cook on one side for
3 minutes or until the egg whites are partially cooked.
3. Add half the cheese and fold over in half and cook for 2 min on
low heat.
4. Then when ready, flip, turn or roll the omelette over and cook for
an additional 2 minutes with remaining cheese slices on top to
melt.
5. Once it is fully cooked, serve with salsa on top or on the side.","M A K E S  2  S E R V I N G S
480g (2 cups) egg whites 
100g lean deli ham, diced
1 serving veggies up to 100 calories 
(bell peppers, spinach, tomatoes, 
yellow onions)
4 slices (or 76g shredded) fat-free 
cheese (120 calories)
Salt & Pepper to taste
4 tbsp of your favorite salsa OR 2 
tbsp no sugar-added ketchup",15,20
30,"1. In a non-stick skillet, steam the spinach with a little bit of water till
the spinach wilts. Drain off the excess water and set aside.
2. In a bowl, whisk the egg whites well. Add all the remaining
ingredients, including the steamed spinach and mix well.
3. Heat the stovetop to medium heat. Using a nonstick skillet, add
the egg mixture and cook on one side for 3 minutes or until
the egg whites are partially cooked. Make sure to work the egg
mixture back and forth with a rubber spatula so they don’t stick to
the pan.
4. When ready, flip, turn or roll the omelette over and cook for an
additional 2 minutes.
5. Once it is fully cooked, fold the omelette in half and serve.","M A K E S  1  O M E L E T
110g ham, diced
150g (⅝ cup) egg whites
100g spinach leaves
100g tomato, diced
14g crumbled reduced fat feta 
cheese (30 calories)
Salt & pepper to taste",15,20
31,"1. In a non-stick skillet, cook the ground beef completely, then
drain off the excess fat. Set aside to cool.
2. In a bowl, whisk the egg whites well. Add all the remaining
ingredients (except the toppings) and mix well.
3. Heat the stovetop to medium heat. Using a nonstick skillet, add
the egg mixture and cook on one side for 3 minutes or until
the egg whites are partially cooked. Make sure to work the egg
mixture back and forth with a rubber spatula so they don’t stick
to the pan.
4. Then when ready, flip, turn or roll the omelette over and cook
for an additional 2 minutes.
5. Once it is fully cooked, fold the omelette in half and put on the
plate. Serve with optional toppings of salsa and fat-free sour
cream.","M A K E S  1  O M E L E T 
110g (4 oz) 95% extra lean ground 
beef, measurered raw
150g (⅝ cup) egg whites
1 whole egg
2 slices (or 38g shredded) fat-free 
cheese (60 calories)
110g tomato, diced
60g yellow onion, diced
60g red bell pepper, diced
10g (~2 tbsp) green onion, diced
Spices to taste: 
salt, pepper, chili powder, ground 
cumin
Optional toppings: 
3 tbsp salsa
3 tbsp fat-free sour cream",15,20
32,":
1. In medium bowl, mash up avocado making it into a paste. Add
the chopped tomato, paprika, minced garlic, lemon juice, and
salt & pepper, and mix.
2. Place the bread slices in the toaster.
3. Heat a pan over medium-high heat. Spray with cooking spray for
1 second. Cook the egg whites in the pan. Remove from the pan
and divide the cooked egg whites on the open-face toast.
4. Remove the toast from the toaster and place on a plate. Divide
the avocado mash and place on both slices, adding sliced
tomato on top.
5. Serve as two open-face pieces of toast deliciousness. Serve with
fresh-squeezed lemon and cracked pepper if desired.","M A K E S  1  S E R V I N G
2 slices regular ass bread
60g avocado
90g sliced tomato
40g chopped onion
40g chopped tomato
180g (¾ cup) egg whites
1 tbsp minced garlic (or 3 cloves, 
minced)
1 tsp paprika
1 tsp lemon juice
Salt & pepper (to taste)",10,15
34,"1. Lay the crepes out flat.
2. In a bowl, make the filling by mixing the protein powder, cocoa,
sweetener, and Greek yogurt until well mixed.
3. Divide the filling up evenly to fill each crepe and spread on one
quarter of the far side of each crepe.
4. Once the filling is placed onto the crepes, cut up your choice of
fruit, divide, and place on top of filling on each crepe.
5. Take the end with the filling side and start rolling the crepes. Fold
in both sides as you are rolling the crepe to secure the filling
inside.
6. Once all rolled, spray a frying pan with cooking spray and turn on
medium heat.
7. Set each rolled crepe on the pan and let cook until crepe starts to
crisp then flip and crisp the other side.
8. While crepes are cooking, heat the rest of the fruit in the
microwave for around 20-30 seconds.
9. Mix the peanut butter powder and cocoa powder with water to
desired thickness.
10. Once crepes are done, place them on a plate and top them with
the heated fruit and the peanut-cocoa drizzle, ENJOY.","M A K E S  2  C R E P E S  ( 1 
S E R V I N G )
2 Crepini Egg White Wraps (or 
equivalent egg white wrap)
F I L L I N G :
11g (⅓ scoop) protein powder of 
choice
2.5g (½ tbsp) cocoa powder
¼ packet (½ tsp) sweetener
60g (¼ cup) 0% fat Greek yogurt
45g (¼ serving) blueberries
T O P P I N G S :
3g (½ tbsp) powdered peanut butter 
(PB2)
5g (1 tbsp) cocoa powder
Water to desired thickness (~½ tbsp)
6-7 (~75g) strawberries",10,20
35,"1. Lay the crepes out flat.
2. In a bowl, make the filling by mixing the protein powder, cocoa,
sweetener, and water until well mixed.
3. Divide the filling up evenly to fill each crepe and spread on one
quarter of the far side of each crepe.
4. Once the filling is placed onto the crepes, cut up your choice of
fruit, divide, and place on top of filling on each crepe.
5. Take the end with the filling side and start rolling the crepes. Fold
in both sides as you are rolling the crepe to secure the filling
inside.
6. Once all rolled, spray a frying pan with cooking spray and turn on
medium heat.
7. Set each rolled crepe on the pan and let cook until crepe starts to
crisp then flip and crisp the other side.
8. While crepes are cooking, take the rest of the fruit and heat up in
microwave for around 20-30 seconds.
9. Mix the peanut butter powder and cocoa powder with water to
desired thickness.
10. Once crepes are done, place them on a plate and top them with
the heated fruit and the peanut-cocoa drizzle, ENJOY.","M A K E S  2  C R E P E S
( 1  S E R V I N G )
2 Crepini Egg White Wraps (or 
equivalent egg white wraps)
F I L L I N G :
11g (⅓ scoop) protein powder
2.5g (½ tbsp) cocoa powder
Water to desired thickness (~1 tbsp)
¼ packet (½ tsp) sweetener
3-4 strawberries (~40g)
30g banana
T O P P I N G S :
3g (½ tbsp) powdered peanut butter 
(PB2)
2.5g (½ tbsp) cocoa powder
Water to desired thickness (~½ tbsp)
3-4 strawberries (~40g)",10,20
37,"1. Place the rolled oats in a Ninja blender (or whatever blender
you own!) and pulse until it is a powdery consistency.
2. Add the remaining ingredients into the blender, and blend
on high for 30 seconds or until a uniform consistency is
achieved.
3. (OPTIONAL) Transfer blended mixture to an airtight
container, and let sit in refrigerator for 4 hours. (Note: these
can be eaten right away, but it is preferable to let the batter
thicken over a few hours).
4. Heat a griddle over low-medium heat. Spray griddle with
cooking spray. Add mixture to griddle and let sit for 1-2
minutes until edges appear cooked through.
5. Flip pancake with a spatula, and let sit for another 30-60
seconds, depending on doneness.
6. Remove pancake from the griddle and serve on a plate with
toppings of choice.","M A K E S  5  P A N C A K E S
480g (2 cups) egg whites
65g (¾ cup) rolled oats
125g (½ cup) 0% fat cottage cheese
450g (1 lb) apples
1½ tsp cinnamon
5 packets (~3 tbsp) sweetener
6g (2 tsp) guar gum
5g (1 tsp) baking powder
T O P  W I T H :
60ml (4 tbsp) low-calorie syrup (20 
calories)",10,20
38,"1. Place rolled oats into a blender, and blend on high until the oats
are powdery.
2. Add the remaining dry ingredients (protein powder, cinnamon,
and cocoa powder) to the blender, and pulse until well-mixed.
3. Add the liquid ingredients to the blender, and blend on medium
until the batter is smooth.
4. Heat a skillet over medium-high heat. Spray the pan with cooking
spray, and add the batter to the pan to form a pancake.
5. Allow to cook on one side for 2-4 minutes or until the edges start
to appear cooked, and then flip.
6. Remove from the pan and serve. Repeat until you’ve cooked as
many pancakes as you want. (You may also store the extra batter
and cook it later, or cook the extra pancakes now, and refrigerate
until you are ready to eat them.)","M A K E S  4  P A N C A K E S
180g (¾ cup) egg whites
220g ripe banana
33g (1 scoop) chocolate protein 
powder (130 calories, 25g protein)
65g (¾ cup) rolled oats
15g (3 tbsp) cocoa powder
1 tsp cinnamon
Cooking spray
T O P  W I T H :
60ml (4 tbsp) low-calorie syrup (20 
calories)
Banana Chocolate Pancakes",10,15
39,"1. Blend all ingredients for 30 seconds or until a uniform
consistency is achieved.
2. (OPTIONAL) Transfer blended mixture to an airtight container,
and let sit in refrigerator for 4 hours. (Note: these can be eaten
right away, but it is preferable to let the batter thicken over a
few hours).
3. Heat a griddle over low-medium heat. Spray griddle with
cooking spray. Add mixture to griddle and let sit for 1-2 minutes
until edges appear cooked through.
4. Remove pancake from the griddle and serve on a plate with
toppings of choice.","M A K E S  5  P A N C A K E S
480g (2 cups) egg whites
330g ripe banana
65g (¾ cup) rolled oats
125g (½ cup) 0% fat cottage cheese
½ tbsp cinnamon
5 packets (3 tbsp) sweetener
6g (2 tsp) guar gum
4g (1 tsp) baking powder
1 tsp cinnamon
Cooking spray
R E C O M M E N D E D  T O P P I N G S :
60ml (4 tbsp) low-calorie syrup (20 
calories)
Banana Protein Pancakes",10,15
40,"1. Place the cauliflower in a blender and blend on high until it’s
shredded into cauliflower rice.
2. Add the cauliflower rice, oats, Cheddar and Chive egg whites,
guar/xanthan gum, sweetener and protein powder to a blender.
Blend on medium to form a uniform mixture.
3. Heat up a nonstick skillet with cooking spray over medium-high
heat.
4. Spray the skillet with cooking spray for one second.
5. Drop the batter into the heated skillet and cook until the edges and
bottom begin to brown.
6. Flip and cook the other side until it is golden brown.","M A K E S  6  P A N C A K E S
300g cauliflower
90g (1 cup) rolled oats
480g (2 cups) Cheddar and Chives 
fat-free egg whites or other 
flavoured egg whites such as Garden 
Vegetable or Tex Mex
33g (1 scoop) casein protein powder 
(vanilla)
3g (1 tsp) guar/xanthan gum
2 packets (4 tsp) sweetener (to taste)
Cooking spray
Salt to taste
Cheese & Chive Cauliflower 
Protein Pancakes",15,30
41,"1. Place the cauliflower in a blender and blend on high until it’s
shredded into small pieces (like cauliflower rice.)
2. Add the oats, egg whites, protein powder, sweetener, guar
or xanthan gum, baking powder (if used), cocoa powder and
Walden Farms chocolate syrup into the blender. Blend on
medium until the batter is smooth.
3. Heat up a skillet and spray with cooking spray for 1 second.
Then, pour the pancake batter in the pan on top of the fruit.
4. Press the chocolate chips and fruit slices on top of the pancake.
5. Flip when it’s ready then cook for a few more minutes.
6. Remove from the pan, serve and enjoy.","M A K E S  3  P A N C A K E S
240g (1 cup) egg whites
300g cauliflower
½ serving fruit of choice (150g 
strawberries is Coach Greg’s 
preference)
45g (½ cup) rolled oats
33g (1 scoop) chocolate casein protein 
powder
3 packets (2 tbsp) sweetener
1.5g (~½ tsp) guar/xanthan gum
2g (½ tsp) baking powder (optional)
45g sugar-free chocolate chips
5g (1 tbsp) cocoa powder
30ml (2 tbsp) Walden Farms sugar-free 
chocolate syrup
Cooking spray",20,30
